,,1037,
5,,1042,
0,,1042,
3,,1045,
0,,1045,
2,,1047,
0,,1047,
4,,1051,
0,,1051,
1,,1052,
0,,1052,
4,,1056,
0,,1056,
0,,1056,
0,,1056,
7,,1063,
0,,1063,
4,,1067,
0,,1067,
5,,1072,
0,,1072,
2,,1074,
0,,1074,
4,,1078,
0,,1078,
4,,1082,
0,,1082,
1,,1083,
0,,1083,
2,,1085,
0,,1085,
5,,1090,
0,,1090,
4,,1094,
0,,1094,
1,,1095,
0,,1095,
7,,1102,
0,,1102,
5,,1107,
0,,1107,
2,,1109,
0,,1109,
0,,1109,
0,,1109,
6,,1115,
0,,1115,
5,,1120,
0,,1120,
0,,1120,
0,,1120,
0,,1120,
0,,1120,
0,,1120,
0,,1120,
6,,1126,
0,,1126,
2,,1128,
0,,1128,
3,,1131,
0,,1131,
7,,1138,
0,,1138,
5,,1143,
0,,1143,
1,,1144,
0,,1144,
4,,1148,
0,,1148,
7,,1155,
0,,1155,
4,,1159,
2,,1161,
5,,1166,
3,,1169,
2,,1171,
0,,1171,
2,,1173,
0,,1173,
-1,,1172,
0,,1172,
6,,1178,
2,,1180,
5,,1185,
7,,1192,
4,,1196,
2,,1198,
6,,1204,
0,,1204,
-1,,1203,
0,,1203,
1,,1204,
3,,1207,
6,,1213,
5,,1218,
6,,1224,
7,,1231,
2,,1233,
1,,1234,
4,,1238,
5,,1243,
1,,1244,
7,,1251,
4,,1255,
1,,1256,
0,,1256,
0,,1256,
1,,1257,
2,,1259,
4,,1263,
4,,1267,
3,,1270,
4,,1274,
1,,1275,
0,,1275,
0,,1275,
2,,1277,
0,,1277,
-1,,1276,
0,,1276,
0,,1276,
0,,1276,
1,,1277,
0,,1277,
1,,1278,
0,,1278,
0,,1278,
0,,1278,
2,,1280,
0,,1280,
0,,1280,
0,,1280,
1,,1281,
0,,1281,
-2,,1279,
0,,1279,
0,,1279,
0,,1279,
-1,,1278,
0,,1278,
0,,1278,
0,,1278,
-1,,1277,
0,,1277,
-1,,1276,
0,,1276,
0,,1276,
0,,1276,
0,,1276,
0,,1276,
0,,1276,
0,,1276,
-1,,1275,
0,,1275,
-1,,1274,
0,,1274,
1,,1275,
2,,1277,
0,,1277,
-1,,1276,
0,,1276,
1,,1277,
1,,1278,
0,,1278,
1,,1279,
0,,1279,
2,,1281,
0,,1281,
1,,1282,
0,,1282,
-1,,1281,
0,,1281,
2,,1283,
0,,1283,
-1,,1282,
0,,1282,
3,,1285,
0,,1285,
0,,1285,
0,,1285,
1,,1286,
0,,1286,
3,,1289,
0,,1289,
-1,,1288,
0,,1288,
3,,1291,
0,,1291,
-1,,1290,
0,,1290,
0,,1290,
0,,1290,
0,,1290,
0,,1290,
3,,1293,
0,,1293,
2,,1295,
0,,1295,
0,,1295,
0,,1295,
0,,1295,
0,,1295,
-1,,1294,
0,,1294,
-1,,1293,
0,,1293,
0,,1293,
0,,1293,
-1,,1292,
0,,1292,
-2,,1290,
0,,1290,
1,,1291,
0,,1291,
-1,,1290,
0,,1290,
-2,,1288,
0,,1288,
-1,,1287,
0,,1287,
1,,1288,
0,,1288,
-2,,1286,
0,,1286,
-1,,1285,
0,,1285,
-2,,1283,
0,,1283,
0,,1283,
0,,1283,
0,,1283,
0,,1283,
-1,,1282,
0,,1282,
0,,1282,
0,,1282,
0,,1282,
0,,1282,
-1,,1281,
0,,1281,
0,,1281,
0,,1281,
1,,1282,
0,,1282,
-1,,1281,
0,,1281,
1,,1282,
0,,1282,
0,,1282,
0,,1282,
-2,,1280,
0,,1280,
0,,1280,
0,,1280,
1,,1281,
0,,1281,
2,,1283,
0,,1283,
2,,1285,
0,,1285,
0,,1285,
0,,1285,
0,,1285,
0,,1285,
0,,1285,
0,,1285,
-1,,1284,
0,,1284,
1,,1285,
0,,1285,
1,,1286,
0,,1286,
1,,1287,
0,,1287,
-1,,1286,
0,,1286,
2,,1288,
0,,1288,
2,,1290,
0,,1290,
0,,1290,
0,,1290,
-1,,1289,
0,,1289,
1,,1290,
0,,1290,
-2,,1288,
0,,1288,
-2,,1286,
0,,1286,
1,,1287,
0,,1287,
1,,1288,
0,,1288,
0,,1288,
0,,1288,
-2,,1286,
0,,1286,
-1,,1285,
0,,1285,
0,,1285,
0,,1285,
-1,,1284,
0,,1284,
2,,1286,
0,,1286,
-1,,1285,
0,,1285,
0,,1285,
0,,1285,
-3,,1282,
0,,1282,
-2,,1280,
0,,1280,
2,,1282,
0,,1282,
0,,1282,
0,,1282,
-3,,1279,
0,,1279,
0,,1279,
0,,1279,
-3,,1276,
0,,1276,
0,,1276,
0,,1276,
0,,1276,
0,,1276,
1,,1277,
0,,1277,
1,,1278,
0,,1278,
1,,1279,
0,,1279,
-3,,1276,
0,,1276,
-1,,1275,
0,,1275,
-1,,1274,
0,,1274,
-1,,1273,
0,,1273,
0,,1273,
0,,1273,
2,,1275,
0,,1275,
0,,1275,
0,,1275,
1,,1276,
0,,1276,
0,,1276,
0,,1276,
3,,1279,
0,,1279,
2,,1281,
0,,1281,
3,,1284,
0,,1284,
-1,,1283,
0,,1283,
0,,1283,
0,,1283,
-1,,1282,
0,,1282,
1,,1283,
0,,1283,
2,,1285,
0,,1285,
0,,1285,
0,,1285,
2,,1287,
0,,1287,
2,,1289,
0,,1289,
-2,,1287,
0,,1287,
0,,1287,
0,,1287,
1,,1288,
0,,1288,
1,,1289,
0,,1289,
3,,1292,
0,,1292,
-2,,1290,
0,,1290,
-1,,1289,
0,,1289,
-1,,1288,
0,,1288,
2,,1290,
0,,1290,
-1,,1289,
0,,1289,
-3,,1286,
0,,1286,
-1,,1285,
0,,1285,
-2,,1283,
0,,1283,
-4,,1279,
0,,1279,
-3,,1276,
0,,1276,
-2,,1274,
0,,1274,
-3,,1271,
0,,1271,
1,,1272,
0,,1272,
0,,1272,
0,,1272,
-4,,1268,
0,,1268,
2,,1270,
0,,1270,
-1,,1269,
0,,1269,
2,,1271,
0,,1271,
-1,,1270,
0,,1270,
-5,,1265,
0,,1265,
0,,1265,
0,,1265,
2,,1267,
0,,1267,
2,,1269,
0,,1269,
-1,,1268,
0,,1268,
0,,1268,
0,,1268,
2,,1270,
0,,1270,
0,,1270,
0,,1270,
1,,1271,
0,,1271,
2,,1273,
0,,1273,
1,,1274,
0,,1274,
1,,1275,
0,,1275,
1,,1276,
0,,1276,
1,,1277,
0,,1277,
0,,1277,
0,,1277,
-1,,1276,
0,,1276,
1,,1277,
0,,1277,
-1,,1276,
0,,1276,
0,,1276,
0,,1276,
-1,,1275,
0,,1275,
1,,1276,
0,,1276,
