,,929,
1,,930,
0,,930,
-2,,928,
-2,,926,
0,,926,
-2,,924,
0,,924,
-2,,922,
0,,922,
1,,923,
0,,923,
-1,,922,
-2,,920,
0,,920,
-2,,918,
-3,,915,
-1,,914,
-1,,913,
0,,913,
1,,914,
0,,914,
-1,,913,
0,,913,
-3,,910,
0,,910,
1,,911,
0,,911,
-1,,910,
-2,,908,
0,,908,
1,,909,
0,,909,
-1,,908,
0,,908,
-1,,907,
0,,907,
1,,908,
0,,908,
-1,,907,
0,,907,
1,,908,
0,,908,
-1,,907,
0,,907,
-1,,906,
0,,906,
1,,907,
0,,907,
0,,907,
1,,908,
0,,908,
-1,,907,
-1,,906,
0,,906,
1,,907,
1,,908,
0,,908,
0,,908,
-2,,906,
-1,,905,
0,,905,
1,,906,
0,,906,
-1,,905,
0,,905,
1,,906,
0,,906,
-1,,905,
-2,,903,
-1,,902,
-1,,901,
0,,901,
-1,,900,
-1,,899,
-1,,898,
0,,898,
-2,,896,
0,,896,
0,,896,
0,,896,
-1,,895,
-2,,893,
-1,,892,
-2,,890,
-1,,889,
-1,,888,
-1,,887,
0,,887,
0,,887,
-2,,885,
-1,,884,
0,,884,
1,,885,
0,,885,
-1,,884,
-1,,883,
-2,,881,
-1,,880,
-2,,878,
0,,878,
1,,879,
1,,880,
2,,882,
1,,883,
0,,883,
0,,883,
-1,,882,
0,,882,
1,,883,
0,,883,
2,,885,
0,,885,
0,,885,
1,,886,
0,,886,
-1,,885,
0,,885,
1,,886,
1,,887,
0,,887,
0,,887,
0,,887,
-2,,885,
-1,,884,
0,,884,
0,,884,
0,,884,
-1,,883,
-2,,881,
-1,,880,
0,,880,
0,,880,
-1,,879,
0,,879,
1,,880,
0,,880,
0,,880,
0,,880,
-1,,879,
0,,879,
-1,,878,
0,,878,
1,,879,
0,,879,
-1,,878,
0,,878,
1,,879,
1,,880,
0,,880,
2,,882,
1,,883,
0,,883,
-1,,882,
-1,,881,
0,,881,
-1,,880,
-1,,879,
0,,879,
1,,880,
1,,881,
0,,881,
-2,,879,
0,,879,
-2,,877,
0,,877,
0,,877,
0,,877,
1,,878,
0,,878,
-1,,877,
-2,,875,
0,,875,
0,,875,
0,,875,
0,,875,
-1,,874,
0,,874,
1,,875,
1,,876,
0,,876,
-1,,875,
0,,875,
0,,875,
-1,,874,
-3,,871,
-2,,869,
0,,869,
1,,870,
0,,870,
-2,,868,
0,,868,
-1,,867,
0,,867,
1,,868,
0,,868,
0,,868,
0,,868,
-1,,867,
-2,,865,
-1,,864,
0,,864,
0,,864,
1,,865,
0,,865,
-2,,863,
0,,863,
1,,864,
1,,865,
0,,865,
-2,,863,
-1,,862,
0,,862,
1,,863,
0,,863,
1,,864,
0,,864,
-1,,863,
0,,863,
-2,,861,
-2,,859,
-1,,858,
0,,858,
0,,858,
-2,,856,
-2,,854,
0,,854,
0,,854,
0,,854,
-2,,852,
0,,852,
-2,,850,
0,,850,
1,,851,
0,,851,
0,,851,
1,,852,
1,,853,
1,,854,
0,,854,
-1,,853,
-1,,852,
0,,852,
1,,853,
0,,853,
-1,,852,
0,,852,
0,,852,
-1,,851,
-1,,850,
-1,,849,
0,,849,
-1,,848,
0,,848,
2,,850,
1,,851,
0,,851,
-1,,850,
0,,850,
2,,852,
0,,852,
2,,854,
0,,854,
-1,,853,
0,,853,
1,,854,
0,,854,
1,,855,
1,,856,
1,,857,
0,,857,
-1,,856,
-1,,855,
0,,855,
2,,857,
1,,858,
0,,858,
