,,796,
1,,797,
0,,797,
-1,,796,
0,,796,
0,,796,
0,,796,
-1,,795,
0,,795,
-1,,794,
0,,794,
0,,794,
0,,794,
0,,794,
0,,794,
-1,,793,
0,,793,
-1,,792,
0,,792,
-1,,791,
0,,791,
0,,791,
2,,793,
1,,794,
2,,796,
1,,797,
0,,797,
2,,799,
3,,802,
1,,803,
2,,805,
0,,805,
-2,,803,
-1,,802,
0,,802,
1,,803,
0,,803,
-2,,801,
0,,801,
1,,802,
0,,802,
-1,,801,
0,,801,
-1,,800,
-1,,799,
-1,,798,
0,,798,
1,,799,
0,,799,
-1,,798,
-2,,796,
-1,,795,
0,,795,
1,,796,
0,,796,
-1,,795,
-1,,794,
-1,,793,
0,,793,
-1,,792,
-1,,791,
-2,,789,
0,,789,
1,,790,
0,,790,
-1,,789,
0,,789,
-1,,788,
0,,788,
1,,789,
0,,789,
-1,,788,
0,,788,
1,,789,
1,,790,
0,,790,
-1,,789,
0,,789,
1,,790,
0,,790,
-2,,788,
0,,788,
0,,788,
-2,,786,
-1,,785,
0,,785,
1,,786,
0,,786,
0,,786,
0,,786,
1,,787,
0,,787,
1,,788,
1,,789,
0,,789,
1,,790,
0,,790,
0,,790,
0,,790,
0,,790,
-1,,789,
0,,789,
0,,789,
1,,790,
0,,790,
1,,791,
2,,793,
0,,793,
2,,795,
1,,796,
1,,797,
1,,798,
0,,798,
1,,799,
1,,800,
1,,801,
0,,801,
-1,,800,
0,,800,
2,,802,
1,,803,
0,,803,
-1,,802,
0,,802,
1,,803,
2,,805,
0,,805,
-1,,804,
0,,804,
0,,804,
0,,804,
-1,,803,
0,,803,
2,,805,
0,,805,
0,,805,
0,,805,
-1,,804,
0,,804,
0,,804,
-2,,802,
-1,,801,
-1,,800,
-2,,798,
0,,798,
1,,799,
1,,800,
0,,800,
-1,,799,
0,,799,
0,,799,
-2,,797,
0,,797,
1,,798,
0,,798,
0,,798,
-1,,797,
0,,797,
0,,797,
-1,,796,
-2,,794,
0,,794,
0,,794,
-1,,793,
0,,793,
-2,,791,
0,,791,
0,,791,
0,,791,
-1,,790,
-2,,788,
-1,,787,
0,,787,
1,,788,
0,,788,
-1,,787,
0,,787,
0,,787,
0,,787,
-1,,786,
0,,786,
1,,787,
0,,787,
-2,,785,
0,,785,
0,,785,
0,,785,
-1,,784,
0,,784,
-2,,782,
-3,,779,
-1,,778,
0,,778,
1,,779,
0,,779,
-1,,778,
-3,,775,
-2,,773,
0,,773,
1,,774,
1,,775,
0,,775,
1,,776,
0,,776,
1,,777,
1,,778,
1,,779,
0,,779,
-1,,778,
-1,,777,
-1,,776,
-2,,774,
-2,,772,
-2,,770,
0,,770,
1,,771,
0,,771,
-2,,769,
0,,769,
-1,,768,
-1,,767,
0,,767,
1,,768,
0,,768,
-2,,766,
-1,,765,
-1,,764,
-1,,763,
-2,,761,
0,,761,
1,,762,
0,,762,
3,,765,
2,,767,
2,,769,
1,,770,
1,,771,
0,,771,
2,,773,
1,,774,
1,,775,
3,,778,
0,,778,
-1,,777,
0,,777,
0,,777,
1,,778,
0,,778,
-2,,776,
-1,,775,
-1,,774,
-1,,773,
-1,,772,
0,,772,
0,,772,
0,,772,
0,,772,
-2,,770,
-1,,769,
0,,769,
-2,,767,
0,,767,
1,,768,
0,,768,
-1,,767,
-2,,765,
0,,765,
1,,766,
0,,766,
-1,,765,
-1,,764,
0,,764,
1,,765,
0,,765,
-2,,763,
-1,,762,
-2,,760,
0,,760,
1,,761,
0,,761,
