,,1186,
-2,,1184,
-1,,1183,
0,,1183,
-4,,1179,
-1,,1178,
0,,1178,
-1,,1177,
0,,1177,
-3,,1174,
-2,,1172,
0,,1172,
1,,1173,
0,,1173,
-2,,1171,
-1,,1170,
-2,,1168,
-3,,1165,
0,,1165,
1,,1166,
0,,1166,
0,,1166,
0,,1166,
0,,1166,
-2,,1164,
0,,1164,
1,,1165,
0,,1165,
-1,,1164,
0,,1164,
1,,1165,
0,,1165,
-1,,1164,
0,,1164,
-1,,1163,
0,,1163,
0,,1163,
-1,,1162,
-1,,1161,
-1,,1160,
0,,1160,
0,,1160,
2,,1162,
0,,1162,
0,,1162,
0,,1162,
1,,1163,
0,,1163,
1,,1164,
1,,1165,
1,,1166,
2,,1168,
0,,1168,
0,,1168,
1,,1169,
0,,1169,
0,,1169,
0,,1169,
1,,1170,
1,,1171,
0,,1171,
-1,,1170,
0,,1170,
-2,,1168,
0,,1168,
0,,1168,
0,,1168,
-1,,1167,
0,,1167,
-2,,1165,
0,,1165,
-2,,1163,
0,,1163,
0,,1163,
0,,1163,
-1,,1162,
0,,1162,
0,,1162,
0,,1162,
-1,,1161,
0,,1161,
-1,,1160,
0,,1160,
-1,,1159,
0,,1159,
0,,1159,
-2,,1157,
-2,,1155,
0,,1155,
1,,1156,
0,,1156,
-1,,1155,
0,,1155,
-2,,1153,
-2,,1151,
-2,,1149,
0,,1149,
1,,1150,
0,,1150,
-1,,1149,
-1,,1148,
0,,1148,
0,,1148,
0,,1148,
1,,1149,
0,,1149,
-2,,1147,
-2,,1145,
-2,,1143,
-3,,1140,
-1,,1139,
0,,1139,
1,,1140,
0,,1140,
-2,,1138,
-2,,1136,
-1,,1135,
0,,1135,
1,,1136,
3,,1139,
0,,1139,
3,,1142,
0,,1142,
0,,1142,
0,,1142,
-1,,1141,
0,,1141,
0,,1141,
0,,1141,
2,,1143,
0,,1143,
3,,1146,
0,,1146,
1,,1147,
0,,1147,
2,,1149,
0,,1149,
1,,1150,
0,,1150,
3,,1153,
0,,1153,
3,,1156,
0,,1156,
1,,1157,
0,,1157,
1,,1158,
0,,1158,
-1,,1157,
0,,1157,
2,,1159,
1,,1160,
0,,1160,
0,,1160,
2,,1162,
0,,1162,
-1,,1161,
0,,1161,
1,,1162,
0,,1162,
1,,1163,
1,,1164,
1,,1165,
0,,1165,
1,,1166,
1,,1167,
2,,1169,
0,,1169,
0,,1169,
1,,1170,
0,,1170,
-2,,1168,
0,,1168,
-2,,1166,
-1,,1165,
-2,,1163,
0,,1163,
1,,1164,
0,,1164,
-2,,1162,
0,,1162,
0,,1162,
-2,,1160,
0,,1160,
1,,1161,
0,,1161,
-1,,1160,
0,,1160,
1,,1161,
1,,1162,
2,,1164,
2,,1166,
2,,1168,
0,,1168,
-1,,1167,
0,,1167,
1,,1168,
2,,1170,
0,,1170,
0,,1170,
0,,1170,
-1,,1169,
0,,1169,
1,,1170,
1,,1171,
1,,1172,
0,,1172,
-1,,1171,
0,,1171,
1,,1172,
0,,1172,
1,,1173,
0,,1173,
1,,1174,
0,,1174,
0,,1174,
0,,1174,
1,,1175,
0,,1175,
1,,1176,
0,,1176,
0,,1176,
0,,1176,
2,,1178,
0,,1178,
1,,1179,
0,,1179,
1,,1180,
0,,1180,
-2,,1178,
-3,,1175,
-2,,1173,
-2,,1171,
0,,1171,
-1,,1170,
-1,,1169,
0,,1169,
-2,,1167,
0,,1167,
2,,1169,
0,,1169,
1,,1170,
0,,1170,
3,,1173,
0,,1173,
2,,1175,
0,,1175,
2,,1177,
0,,1177,
1,,1178,
0,,1178,
3,,1181,
0,,1181,
-1,,1180,
0,,1180,
1,,1181,
0,,1181,
-1,,1180,
0,,1180,
1,,1181,
0,,1181,
1,,1182,
0,,1182,
2,,1184,
0,,1184,
-1,,1183,
0,,1183,
2,,1185,
0,,1185,
1,,1186,
0,,1186,
0,,1186,
0,,1186,
0,,1186,
0,,1186,
1,,1187,
0,,1187,
3,,1190,
0,,1190,
4,,1194,
0,,1194,
3,,1197,
0,,1197,
1,,1198,
0,,1198,
1,,1199,
0,,1199,
1,,1200,
0,,1200,
0,,1200,
0,,1200,
0,,1200,
0,,1200,
-1,,1199,
0,,1199,
-1,,1198,
0,,1198,
2,,1200,
0,,1200,
-2,,1198,
0,,1198,
2,,1200,
0,,1200,
0,,1200,
0,,1200,
2,,1202,
0,,1202,
-1,,1201,
0,,1201,
1,,1202,
0,,1202,
1,,1203,
0,,1203,
-2,,1201,
0,,1201,
-2,,1199,
0,,1199,
-4,,1195,
0,,1195,
-2,,1193,
0,,1193,
-1,,1192,
0,,1192,
-1,,1191,
0,,1191,
-5,,1186,
0,,1186,
0,,1186,
0,,1186,
1,,1187,
0,,1187,
2,,1189,
0,,1189,
0,,1189,
0,,1189,
2,,1191,
0,,1191,
3,,1194,
0,,1194,
