,,871,
0,,871,
-2,,869,
-1,,868,
0,,868,
1,,869,
0,,869,
-1,,868,
0,,868,
1,,869,
0,,869,
-2,,867,
-2,,865,
0,,865,
-1,,864,
0,,864,
1,,865,
1,,866,
0,,866,
-1,,865,
-1,,864,
-2,,862,
-1,,861,
0,,861,
0,,861,
-3,,858,
0,,858,
2,,860,
0,,860,
1,,861,
0,,861,
-1,,860,
-1,,859,
0,,859,
2,,861,
1,,862,
1,,863,
1,,864,
0,,864,
0,,864,
0,,864,
1,,865,
1,,866,
1,,867,
0,,867,
-1,,866,
-1,,865,
0,,865,
1,,866,
0,,866,
-1,,865,
0,,865,
1,,866,
0,,866,
-2,,864,
-1,,863,
0,,863,
0,,863,
-1,,862,
-1,,861,
0,,861,
-1,,860,
-1,,859,
0,,859,
-2,,857,
-2,,855,
0,,855,
1,,856,
1,,857,
0,,857,
1,,858,
1,,859,
1,,860,
0,,860,
-1,,859,
0,,859,
2,,861,
2,,863,
2,,865,
0,,865,
2,,867,
0,,867,
-2,,865,
0,,865,
-2,,863,
-2,,861,
-2,,859,
-1,,858,
-2,,856,
0,,856,
-2,,854,
-1,,853,
0,,853,
-1,,852,
-1,,851,
0,,851,
1,,852,
0,,852,
-1,,851,
0,,851,
1,,852,
0,,852,
0,,852,
0,,852,
1,,853,
1,,854,
0,,854,
0,,854,
0,,854,
0,,854,
-1,,853,
0,,853,
1,,854,
0,,854,
-1,,853,
-2,,851,
0,,851,
-1,,850,
0,,850,
1,,851,
0,,851,
1,,852,
0,,852,
-2,,850,
0,,850,
-1,,849,
0,,849,
1,,850,
0,,850,
-1,,849,
0,,849,
1,,850,
2,,852,
1,,853,
2,,855,
2,,857,
0,,857,
1,,858,
0,,858,
-1,,857,
-1,,856,
0,,856,
1,,857,
1,,858,
0,,858,
2,,860,
2,,862,
1,,863,
0,,863,
-1,,862,
0,,862,
1,,863,
0,,863,
-2,,861,
-1,,860,
0,,860,
-1,,859,
0,,859,
0,,859,
1,,860,
0,,860,
-1,,859,
0,,859,
1,,860,
0,,860,
-1,,859,
-1,,858,
0,,858,
-1,,857,
-1,,856,
0,,856,
1,,857,
0,,857,
0,,857,
0,,857,
-1,,856,
0,,856,
-1,,855,
-1,,854,
0,,854,
3,,857,
0,,857,
1,,858,
0,,858,
-1,,857,
0,,857,
2,,859,
2,,861,
3,,864,
3,,867,
0,,867,
-1,,866,
0,,866,
-1,,865,
0,,865,
1,,866,
0,,866,
-2,,864,
0,,864,
-2,,862,
-1,,861,
0,,861,
-1,,860,
0,,860,
2,,862,
1,,863,
0,,863,
1,,864,
1,,865,
0,,865,
0,,865,
1,,866,
0,,866,
-1,,865,
0,,865,
1,,866,
0,,866,
-1,,865,
0,,865,
2,,867,
1,,868,
1,,869,
0,,869,
-1,,868,
0,,868,
2,,870,
0,,870,
2,,872,
0,,872,
-1,,871,
0,,871,
0,,871,
0,,871,
-2,,869,
0,,869,
1,,870,
1,,871,
0,,871,
-2,,869,
0,,869,
1,,870,
0,,870,
-3,,867,
0,,867,
2,,869,
0,,869,
0,,869,
1,,870,
2,,872,
0,,872,
0,,872,
1,,873,
1,,874,
0,,874,
-1,,873,
0,,873,
1,,874,
0,,874,
-1,,873,
0,,873,
2,,875,
2,,877,
2,,879,
1,,880,
1,,881,
1,,882,
1,,883,
1,,884,
2,,886,
0,,886,
-1,,885,
-1,,884,
0,,884,
1,,885,
0,,885,
2,,887,
0,,887,
1,,888,
