,,1161,
1,,1162,
4,,1166,
0,,1166,
-1,,1165,
0,,1165,
1,,1166,
4,,1170,
3,,1173,
3,,1176,
0,,1176,
1,,1177,
0,,1177,
0,,1177,
-1,,1176,
0,,1176,
3,,1179,
0,,1179,
1,,1180,
3,,1183,
0,,1183,
-1,,1182,
0,,1182,
3,,1185,
0,,1185,
0,,1185,
-1,,1184,
0,,1184,
-1,,1183,
-2,,1181,
-2,,1179,
0,,1179,
0,,1179,
-1,,1178,
-1,,1177,
0,,1177,
0,,1177,
1,,1178,
0,,1178,
-2,,1176,
0,,1176,
-1,,1175,
-1,,1174,
-1,,1173,
0,,1173,
1,,1174,
1,,1175,
3,,1178,
4,,1182,
5,,1187,
5,,1192,
0,,1192,
-1,,1191,
0,,1191,
0,,1191,
0,,1191,
2,,1193,
0,,1193,
0,,1193,
-1,,1192,
0,,1192,
3,,1195,
0,,1195,
-1,,1194,
0,,1194,
3,,1197,
0,,1197,
0,,1197,
0,,1197,
1,,1198,
0,,1198,
1,,1199,
0,,1199,
3,,1202,
0,,1202,
1,,1203,
0,,1203,
3,,1206,
0,,1206,
-1,,1205,
0,,1205,
2,,1207,
0,,1207,
4,,1211,
4,,1215,
2,,1217,
5,,1222,
1,,1223,
4,,1227,
5,,1232,
3,,1235,
1,,1236,
3,,1239,
0,,1239,
-3,,1236,
-2,,1234,
-1,,1233,
0,,1233,
1,,1234,
0,,1234,
-2,,1232,
0,,1232,
-1,,1231,
0,,1231,
-1,,1230,
-2,,1228,
-4,,1224,
-1,,1223,
-3,,1220,
-1,,1219,
-2,,1217,
-4,,1213,
-3,,1210,
-3,,1207,
-3,,1204,
0,,1204,
1,,1205,
0,,1205,
0,,1205,
0,,1205,
2,,1207,
0,,1207,
-1,,1206,
0,,1206,
1,,1207,
2,,1209,
1,,1210,
0,,1210,
1,,1211,
1,,1212,
0,,1212,
-1,,1211,
0,,1211,
1,,1212,
2,,1214,
0,,1214,
3,,1217,
2,,1219,
3,,1222,
4,,1226,
0,,1226,
0,,1226,
1,,1227,
3,,1230,
3,,1233,
2,,1235,
5,,1240,
4,,1244,
1,,1245,
0,,1245,
-1,,1244,
-1,,1243,
-1,,1242,
0,,1242,
-1,,1241,
-2,,1239,
0,,1239,
1,,1240,
1,,1241,
0,,1241,
1,,1242,
0,,1242,
-2,,1240,
0,,1240,
0,,1240,
0,,1240,
-1,,1239,
0,,1239,
2,,1241,
0,,1241,
0,,1241,
2,,1243,
2,,1245,
3,,1248,
2,,1250,
2,,1252,
1,,1253,
0,,1253,
2,,1255,
0,,1255,
-1,,1254,
0,,1254,
3,,1257,
1,,1258,
0,,1258,
2,,1260,
1,,1261,
2,,1263,
2,,1265,
0,,1265,
2,,1267,
0,,1267,
0,,1267,
0,,1267,
-1,,1266,
0,,1266,
-1,,1265,
0,,1265,
3,,1268,
0,,1268,
2,,1270,
0,,1270,
3,,1273,
0,,1273,
2,,1275,
0,,1275,
0,,1275,
0,,1275,
3,,1278,
0,,1278,
1,,1279,
0,,1279,
0,,1279,
1,,1280,
1,,1281,
1,,1282,
1,,1283,
1,,1284,
1,,1285,
0,,1285,
1,,1286,
0,,1286,
0,,1286,
0,,1286,
0,,1286,
0,,1286,
-2,,1284,
0,,1284,
-3,,1281,
0,,1281,
-2,,1279,
0,,1279,
-3,,1276,
0,,1276,
-1,,1275,
0,,1275,
-2,,1273,
0,,1273,
-2,,1271,
0,,1271,
0,,1271,
0,,1271,
0,,1271,
0,,1271,
-1,,1270,
0,,1270,
-1,,1269,
0,,1269,
-3,,1266,
0,,1266,
1,,1267,
0,,1267,
-2,,1265,
0,,1265,
0,,1265,
0,,1265,
-2,,1263,
0,,1263,
2,,1265,
0,,1265,
3,,1268,
0,,1268,
-1,,1267,
0,,1267,
1,,1268,
0,,1268,
1,,1269,
0,,1269,
0,,1269,
0,,1269,
1,,1270,
0,,1270,
-2,,1268,
0,,1268,
2,,1270,
0,,1270,
1,,1271,
0,,1271,
3,,1274,
0,,1274,
0,,1274,
0,,1274,
-2,,1272,
0,,1272,
0,,1272,
0,,1272,
1,,1273,
0,,1273,
-2,,1271,
0,,1271,
-1,,1270,
0,,1270,
2,,1272,
0,,1272,
0,,1272,
0,,1272,
2,,1274,
0,,1274,
4,,1278,
0,,1278,
0,,1278,
0,,1278,
-1,,1277,
0,,1277,
3,,1280,
0,,1280,
1,,1281,
0,,1281,
4,,1285,
0,,1285,
3,,1288,
0,,1288,
0,,1288,
0,,1288,
-2,,1286,
0,,1286,
0,,1286,
0,,1286,
