,,989,
0,,989,
0,,989,
-1,,988,
0,,988,
0,,988,
0,,988,
0,,988,
0,,988,
0,,988,
0,,988,
-2,,986,
0,,986,
-2,,984,
0,,984,
0,,984,
0,,984,
0,,984,
0,,984,
1,,985,
0,,985,
-1,,984,
-2,,982,
-2,,980,
-2,,978,
-2,,976,
-2,,974,
-2,,972,
-2,,970,
0,,970,
0,,970,
-1,,969,
-2,,967,
0,,967,
1,,968,
1,,969,
0,,969,
-1,,968,
-1,,967,
-1,,966,
0,,966,
1,,967,
0,,967,
0,,967,
-1,,966,
-1,,965,
-2,,963,
-1,,962,
0,,962,
-2,,960,
0,,960,
0,,960,
-1,,959,
-1,,958,
-1,,957,
-2,,955,
-1,,954,
-1,,953,
-1,,952,
-2,,950,
-2,,948,
0,,948,
-1,,947,
0,,947,
-2,,945,
0,,945,
-2,,943,
0,,943,
-2,,941,
0,,941,
1,,942,
0,,942,
-2,,940,
0,,940,
-1,,939,
-1,,938,
0,,938,
1,,939,
0,,939,
-1,,938,
-1,,937,
-2,,935,
-1,,934,
0,,934,
1,,935,
0,,935,
0,,935,
0,,935,
-1,,934,
0,,934,
1,,935,
0,,935,
-1,,934,
-1,,933,
-2,,931,
0,,931,
-1,,930,
-2,,928,
-1,,927,
0,,927,
0,,927,
2,,929,
1,,930,
0,,930,
2,,932,
0,,932,
1,,933,
0,,933,
1,,934,
1,,935,
0,,935,
0,,935,
1,,936,
1,,937,
0,,937,
-1,,936,
-1,,935,
-2,,933,
-2,,931,
0,,931,
-1,,930,
-1,,929,
-1,,928,
0,,928,
0,,928,
-2,,926,
0,,926,
-2,,924,
-1,,923,
0,,923,
-1,,922,
0,,922,
1,,923,
1,,924,
0,,924,
0,,924,
0,,924,
-1,,923,
0,,923,
1,,924,
0,,924,
-1,,923,
0,,923,
-1,,922,
0,,922,
-1,,921,
0,,921,
1,,922,
1,,923,
0,,923,
-1,,922,
0,,922,
-1,,921,
-1,,920,
0,,920,
1,,921,
0,,921,
-1,,920,
-1,,919,
0,,919,
-1,,918,
0,,918,
2,,920,
0,,920,
-1,,919,
0,,919,
1,,920,
0,,920,
0,,920,
-1,,919,
0,,919,
2,,921,
2,,923,
2,,925,
0,,925,
-1,,924,
0,,924,
1,,925,
0,,925,
-2,,923,
-2,,921,
-1,,920,
0,,920,
-1,,919,
-2,,917,
-1,,916,
-1,,915,
0,,915,
1,,916,
0,,916,
-1,,915,
0,,915,
0,,915,
-1,,914,
-1,,913,
-1,,912,
-1,,911,
0,,911,
-1,,910,
-1,,909,
-1,,908,
0,,908,
2,,910,
1,,911,
2,,913,
1,,914,
0,,914,
-1,,913,
0,,913,
1,,914,
0,,914,
2,,916,
0,,916,
-1,,915,
0,,915,
1,,916,
1,,917,
1,,918,
2,,920,
2,,922,
1,,923,
1,,924,
1,,925,
1,,926,
0,,926,
-2,,924,
0,,924,
-2,,922,
-2,,920,
-2,,918,
-2,,916,
-2,,914,
0,,914,
-2,,912,
0,,912,
-1,,911,
-1,,910,
-1,,909,
-2,,907,
-1,,906,
-1,,905,
0,,905,
1,,906,
0,,906,
-1,,905,
0,,905,
2,,907,
0,,907,
1,,908,
0,,908,
2,,910,
0,,910,
-1,,909,
0,,909,
1,,910,
0,,910,
1,,911,
0,,911,
2,,913,
0,,913,
0,,913,
1,,914,
2,,916,
0,,916,
2,,918,
1,,919,
0,,919,
2,,921,
