,,931,
0,,931,
0,,931,
1,,932,
0,,932,
0,,932,
-2,,930,
0,,930,
1,,931,
0,,931,
-2,,929,
0,,929,
1,,930,
0,,930,
-3,,927,
-2,,925,
0,,925,
0,,925,
-2,,923,
-2,,921,
0,,921,
1,,922,
0,,922,
-2,,920,
-1,,919,
-1,,918,
0,,918,
1,,919,
1,,920,
0,,920,
-1,,919,
0,,919,
2,,921,
1,,922,
0,,922,
-1,,921,
0,,921,
1,,922,
1,,923,
0,,923,
-1,,922,
0,,922,
2,,924,
0,,924,
-2,,922,
0,,922,
-1,,921,
0,,921,
-2,,919,
0,,919,
1,,920,
0,,920,
-2,,918,
0,,918,
1,,919,
0,,919,
-1,,918,
0,,918,
-1,,917,
-2,,915,
0,,915,
-1,,914,
0,,914,
0,,914,
1,,915,
0,,915,
-1,,914,
-1,,913,
0,,913,
0,,913,
-1,,912,
-1,,911,
0,,911,
1,,912,
0,,912,
-1,,911,
0,,911,
-1,,910,
0,,910,
-1,,909,
-1,,908,
-2,,906,
-1,,905,
-2,,903,
0,,903,
-1,,902,
-1,,901,
-1,,900,
-1,,899,
0,,899,
1,,900,
0,,900,
-2,,898,
0,,898,
0,,898,
0,,898,
-1,,897,
0,,897,
-1,,896,
-1,,895,
-1,,894,
-1,,893,
0,,893,
-1,,892,
0,,892,
2,,894,
2,,896,
0,,896,
-1,,895,
0,,895,
1,,896,
1,,897,
1,,898,
1,,899,
1,,900,
2,,902,
0,,902,
0,,902,
1,,903,
0,,903,
0,,903,
1,,904,
0,,904,
1,,905,
1,,906,
1,,907,
2,,909,
1,,910,
0,,910,
-1,,909,
0,,909,
2,,911,
1,,912,
0,,912,
0,,912,
0,,912,
-1,,911,
0,,911,
2,,913,
0,,913,
-1,,912,
0,,912,
1,,913,
0,,913,
-1,,912,
-2,,910,
0,,910,
1,,911,
0,,911,
-2,,909,
0,,909,
-2,,907,
0,,907,
0,,907,
0,,907,
-1,,906,
0,,906,
1,,907,
0,,907,
-1,,906,
-2,,904,
-1,,903,
-2,,901,
-1,,900,
-1,,899,
0,,899,
0,,899,
0,,899,
1,,900,
1,,901,
0,,901,
-1,,900,
-1,,899,
0,,899,
1,,900,
1,,901,
0,,901,
0,,901,
-1,,900,
0,,900,
-1,,899,
-2,,897,
0,,897,
0,,897,
0,,897,
0,,897,
-1,,896,
-1,,895,
-3,,892,
0,,892,
1,,893,
0,,893,
-1,,892,
-1,,891,
-1,,890,
0,,890,
-1,,889,
-1,,888,
-1,,887,
0,,887,
1,,888,
0,,888,
-1,,887,
0,,887,
1,,888,
0,,888,
-1,,887,
-1,,886,
0,,886,
1,,887,
0,,887,
0,,887,
1,,888,
2,,890,
0,,890,
1,,891,
0,,891,
1,,892,
0,,892,
1,,893,
0,,893,
1,,894,
2,,896,
0,,896,
-1,,895,
-1,,894,
0,,894,
1,,895,
0,,895,
-1,,894,
-1,,893,
-2,,891,
-3,,888,
-1,,887,
-1,,886,
0,,886,
1,,887,
0,,887,
-1,,886,
-1,,885,
-1,,884,
0,,884,
0,,884,
0,,884,
0,,884,
1,,885,
0,,885,
-1,,884,
-1,,883,
0,,883,
0,,883,
0,,883,
1,,884,
0,,884,
-1,,883,
-1,,882,
0,,882,
-1,,881,
0,,881,
2,,883,
0,,883,
1,,884,
0,,884,
-1,,883,
0,,883,
1,,884,
0,,884,
1,,885,
0,,885,
0,,885,
2,,887,
0,,887,
1,,888,
1,,889,
