,,949,
2,,951,
0,,951,
0,,951,
0,,951,
-1,,950,
0,,950,
0,,950,
0,,950,
2,,952,
0,,952,
1,,953,
0,,953,
1,,954,
0,,954,
-1,,953,
0,,953,
1,,954,
0,,954,
2,,956,
0,,956,
0,,956,
1,,957,
0,,957,
-1,,956,
0,,956,
3,,959,
1,,960,
0,,960,
-1,,959,
0,,959,
1,,960,
0,,960,
-1,,959,
0,,959,
-1,,958,
0,,958,
1,,959,
0,,959,
-2,,957,
0,,957,
-1,,956,
-2,,954,
0,,954,
0,,954,
-1,,953,
0,,953,
0,,953,
1,,954,
0,,954,
-2,,952,
0,,952,
-2,,950,
0,,950,
0,,950,
1,,951,
0,,951,
-1,,950,
0,,950,
1,,951,
2,,953,
2,,955,
0,,955,
-1,,954,
0,,954,
0,,954,
2,,956,
0,,956,
-1,,955,
0,,955,
1,,956,
1,,957,
1,,958,
2,,960,
1,,961,
0,,961,
1,,962,
1,,963,
0,,963,
1,,964,
0,,964,
1,,965,
0,,965,
-1,,964,
0,,964,
1,,965,
0,,965,
1,,966,
1,,967,
0,,967,
-1,,966,
0,,966,
1,,967,
0,,967,
-2,,965,
0,,965,
1,,966,
0,,966,
2,,968,
1,,969,
0,,969,
-1,,968,
-1,,967,
-1,,966,
-1,,965,
0,,965,
1,,966,
1,,967,
0,,967,
1,,968,
1,,969,
0,,969,
2,,971,
0,,971,
0,,971,
2,,973,
1,,974,
1,,975,
1,,976,
1,,977,
2,,979,
0,,979,
-1,,978,
0,,978,
1,,979,
0,,979,
-2,,977,
0,,977,
0,,977,
0,,977,
-1,,976,
0,,976,
-1,,975,
0,,975,
0,,975,
0,,975,
-1,,974,
-1,,973,
0,,973,
1,,974,
0,,974,
0,,974,
1,,975,
0,,975,
-1,,974,
0,,974,
1,,975,
0,,975,
-1,,974,
0,,974,
2,,976,
0,,976,
-1,,975,
0,,975,
1,,976,
2,,978,
0,,978,
1,,979,
2,,981,
0,,981,
0,,981,
2,,983,
0,,983,
0,,983,
0,,983,
-1,,982,
0,,982,
2,,984,
0,,984,
2,,986,
2,,988,
0,,988,
-1,,987,
-1,,986,
-1,,985,
0,,985,
0,,985,
1,,986,
1,,987,
0,,987,
2,,989,
0,,989,
-1,,988,
0,,988,
1,,989,
0,,989,
-1,,988,
0,,988,
1,,989,
0,,989,
-3,,986,
-1,,985,
-2,,983,
0,,983,
-2,,981,
-1,,980,
0,,980,
-1,,979,
0,,979,
0,,979,
-1,,978,
0,,978,
1,,979,
0,,979,
-1,,978,
-1,,977,
-2,,975,
0,,975,
0,,975,
-1,,974,
0,,974,
0,,974,
0,,974,
2,,976,
0,,976,
-1,,975,
0,,975,
0,,975,
0,,975,
1,,976,
2,,978,
2,,980,
0,,980,
-1,,979,
-1,,978,
0,,978,
1,,979,
0,,979,
-1,,978,
0,,978,
1,,979,
1,,980,
0,,980,
2,,982,
0,,982,
-2,,980,
-3,,977,
-1,,976,
-2,,974,
0,,974,
-1,,973,
-2,,971,
-1,,970,
-2,,968,
-2,,966,
0,,966,
1,,967,
0,,967,
-1,,966,
0,,966,
1,,967,
1,,968,
0,,968,
1,,969,
0,,969,
-1,,968,
0,,968,
2,,970,
0,,970,
-1,,969,
-1,,968,
0,,968,
1,,969,
1,,970,
1,,971,
2,,973,
0,,973,
-1,,972,
0,,972,
1,,973,
0,,973,
-1,,972,
0,,972,
1,,973,
1,,974,
0,,974,
-1,,973,
0,,973,
2,,975,
1,,976,
1,,977,
1,,978,
