,,1000,
-2,,998,
0,,998,
-1,,997,
0,,997,
-1,,996,
0,,996,
-1,,995,
0,,995,
-1,,994,
0,,994,
-1,,993,
0,,993,
-1,,992,
0,,992,
1,,993,
0,,993,
-1,,992,
0,,992,
1,,993,
0,,993,
1,,994,
0,,994,
-1,,993,
0,,993,
0,,993,
0,,993,
0,,993,
1,,994,
2,,996,
0,,996,
1,,997,
0,,997,
0,,997,
0,,997,
0,,997,
-2,,995,
0,,995,
1,,996,
1,,997,
0,,997,
0,,997,
-1,,996,
0,,996,
-1,,995,
-1,,994,
-1,,993,
-1,,992,
0,,992,
1,,993,
0,,993,
0,,993,
1,,994,
1,,995,
0,,995,
1,,996,
0,,996,
0,,996,
2,,998,
0,,998,
-1,,997,
0,,997,
1,,998,
0,,998,
2,,1000,
0,,1000,
1,,1001,
0,,1001,
0,,1001,
-1,,1000,
0,,1000,
2,,1002,
0,,1002,
-1,,1001,
-1,,1000,
0,,1000,
-2,,998,
0,,998,
1,,999,
0,,999,
-1,,998,
-2,,996,
-1,,995,
0,,995,
-2,,993,
-1,,992,
-1,,991,
0,,991,
0,,991,
0,,991,
-1,,990,
-2,,988,
-2,,986,
-1,,985,
0,,985,
1,,986,
1,,987,
0,,987,
-1,,986,
0,,986,
2,,988,
0,,988,
2,,990,
0,,990,
-1,,989,
0,,989,
1,,990,
0,,990,
1,,991,
1,,992,
0,,992,
1,,993,
2,,995,
0,,995,
-1,,994,
-1,,993,
-2,,991,
-1,,990,
-1,,989,
-1,,988,
-2,,986,
-2,,984,
-2,,982,
-1,,981,
0,,981,
1,,982,
0,,982,
-1,,981,
0,,981,
0,,981,
0,,981,
-1,,980,
-1,,979,
0,,979,
1,,980,
0,,980,
1,,981,
0,,981,
-1,,980,
0,,980,
1,,981,
2,,983,
2,,985,
1,,986,
0,,986,
1,,987,
0,,987,
-2,,985,
0,,985,
-2,,983,
0,,983,
-1,,982,
0,,982,
1,,983,
0,,983,
-1,,982,
0,,982,
0,,982,
1,,983,
1,,984,
2,,986,
2,,988,
0,,988,
-1,,987,
-1,,986,
0,,986,
1,,987,
0,,987,
0,,987,
-1,,986,
0,,986,
2,,988,
0,,988,
1,,989,
2,,991,
0,,991,
-1,,990,
0,,990,
-2,,988,
0,,988,
-1,,987,
-2,,985,
-1,,984,
-1,,983,
0,,983,
-2,,981,
-1,,980,
-2,,978,
-1,,977,
-1,,976,
-1,,975,
-1,,974,
-2,,972,
-1,,971,
0,,971,
1,,972,
1,,973,
1,,974,
1,,975,
0,,975,
-1,,974,
0,,974,
2,,976,
0,,976,
2,,978,
0,,978,
1,,979,
0,,979,
0,,979,
0,,979,
0,,979,
0,,979,
0,,979,
1,,980,
0,,980,
-1,,979,
0,,979,
0,,979,
1,,980,
0,,980,
0,,980,
0,,980,
-2,,978,
0,,978,
1,,979,
0,,979,
-2,,977,
0,,977,
-2,,975,
0,,975,
-3,,972,
-2,,970,
-1,,969,
0,,969,
0,,969,
1,,970,
1,,971,
0,,971,
1,,972,
0,,972,
-1,,971,
0,,971,
1,,972,
0,,972,
0,,972,
1,,973,
0,,973,
0,,973,
0,,973,
-1,,972,
0,,972,
1,,973,
0,,973,
1,,974,
0,,974,
1,,975,
0,,975,
1,,976,
0,,976,
0,,976,
0,,976,
0,,976,
0,,976,
2,,978,
0,,978,
