,,929,
-1,,928,
-1,,927,
0,,927,
1,,928,
0,,928,
-1,,927,
0,,927,
-1,,926,
0,,926,
1,,927,
0,,927,
0,,927,
1,,928,
0,,928,
-2,,926,
-1,,925,
-3,,922,
-1,,921,
-2,,919,
-1,,918,
-2,,916,
-3,,913,
-2,,911,
-2,,909,
-1,,908,
-1,,907,
-1,,906,
0,,906,
0,,906,
-1,,905,
-1,,904,
-1,,903,
0,,903,
1,,904,
0,,904,
1,,905,
1,,906,
1,,907,
0,,907,
1,,908,
0,,908,
0,,908,
1,,909,
0,,909,
-1,,908,
-2,,906,
0,,906,
1,,907,
1,,908,
0,,908,
-1,,907,
-2,,905,
-1,,904,
0,,904,
-1,,903,
0,,903,
1,,904,
1,,905,
0,,905,
-1,,904,
-2,,902,
-2,,900,
-1,,899,
0,,899,
1,,900,
0,,900,
-1,,899,
-1,,898,
-1,,897,
0,,897,
1,,898,
0,,898,
-2,,896,
-1,,895,
-1,,894,
-1,,893,
-2,,891,
-1,,890,
-1,,889,
-1,,888,
0,,888,
0,,888,
-1,,887,
-1,,886,
0,,886,
1,,887,
0,,887,
-1,,886,
0,,886,
1,,887,
0,,887,
-2,,885,
-1,,884,
0,,884,
1,,885,
0,,885,
-1,,884,
0,,884,
1,,885,
0,,885,
0,,885,
0,,885,
1,,886,
2,,888,
0,,888,
-1,,887,
0,,887,
0,,887,
0,,887,
1,,888,
0,,888,
2,,890,
0,,890,
0,,890,
0,,890,
-1,,889,
-1,,888,
-2,,886,
-1,,885,
0,,885,
-2,,883,
0,,883,
1,,884,
0,,884,
-2,,882,
-2,,880,
0,,880,
-1,,879,
0,,879,
1,,880,
0,,880,
0,,880,
0,,880,
0,,880,
0,,880,
0,,880,
1,,881,
1,,882,
2,,884,
1,,885,
2,,887,
0,,887,
-1,,886,
0,,886,
1,,887,
0,,887,
-1,,886,
-1,,885,
0,,885,
1,,886,
0,,886,
-1,,885,
0,,885,
0,,885,
-2,,883,
-1,,882,
0,,882,
1,,883,
0,,883,
-1,,882,
0,,882,
1,,883,
1,,884,
0,,884,
-1,,883,
0,,883,
2,,885,
0,,885,
2,,887,
1,,888,
0,,888,
-1,,887,
0,,887,
0,,887,
1,,888,
0,,888,
2,,890,
2,,892,
1,,893,
3,,896,
0,,896,
2,,898,
0,,898,
3,,901,
2,,903,
0,,903,
1,,904,
2,,906,
2,,908,
0,,908,
-1,,907,
0,,907,
1,,908,
0,,908,
-1,,907,
0,,907,
-1,,906,
0,,906,
-1,,905,
-1,,904,
-1,,903,
-2,,901,
0,,901,
1,,902,
1,,903,
0,,903,
1,,904,
2,,906,
1,,907,
2,,909,
1,,910,
2,,912,
2,,914,
0,,914,
-1,,913,
-1,,912,
0,,912,
2,,914,
0,,914,
2,,916,
2,,918,
2,,920,
2,,922,
0,,922,
-3,,919,
0,,919,
1,,920,
0,,920,
-2,,918,
0,,918,
-2,,916,
-1,,915,
-2,,913,
-1,,912,
-1,,911,
0,,911,
0,,911,
0,,911,
-2,,909,
0,,909,
-1,,908,
0,,908,
1,,909,
0,,909,
-1,,908,
-1,,907,
0,,907,
1,,908,
0,,908,
0,,908,
-1,,907,
0,,907,
0,,907,
0,,907,
0,,907,
0,,907,
-1,,906,
0,,906,
-1,,905,
-1,,904,
0,,904,
1,,905,
1,,906,
2,,908,
2,,910,
0,,910,
1,,911,
