,,1563,
3,,1566,
2,,1568,
0,,1568,
-1,,1567,
0,,1567,
3,,1570,
2,,1572,
0,,1572,
3,,1575,
3,,1578,
1,,1579,
5,,1584,
4,,1588,
1,,1589,
0,,1589,
-1,,1588,
0,,1588,
0,,1588,
5,,1593,
2,,1595,
2,,1597,
1,,1598,
1,,1599,
0,,1599,
-3,,1596,
-5,,1591,
-4,,1587,
-3,,1584,
-1,,1583,
0,,1583,
-4,,1579,
-2,,1577,
-4,,1573,
0,,1573,
-4,,1569,
-5,,1564,
0,,1564,
-4,,1560,
0,,1560,
-3,,1557,
0,,1557,
1,,1558,
0,,1558,
-1,,1557,
0,,1557,
1,,1558,
0,,1558,
-4,,1554,
-1,,1553,
-2,,1551,
-3,,1548,
-4,,1544,
0,,1544,
-3,,1541,
-3,,1538,
-2,,1536,
-2,,1534,
-4,,1530,
-1,,1529,
-3,,1526,
-3,,1523,
-4,,1519,
-1,,1518,
-4,,1514,
-4,,1510,
-2,,1508,
-3,,1505,
-3,,1502,
-4,,1498,
-4,,1494,
0,,1494,
1,,1495,
0,,1495,
-4,,1491,
-2,,1489,
-4,,1485,
0,,1485,
1,,1486,
0,,1486,
-3,,1483,
-1,,1482,
-3,,1479,
-2,,1477,
-3,,1474,
-4,,1470,
0,,1470,
1,,1471,
0,,1471,
-2,,1469,
0,,1469,
-4,,1465,
0,,1465,
0,,1465,
0,,1465,
0,,1465,
0,,1465,
1,,1466,
0,,1466,
0,,1466,
0,,1466,
-3,,1463,
0,,1463,
-3,,1460,
0,,1460,
-4,,1456,
0,,1456,
-3,,1453,
0,,1453,
-2,,1451,
0,,1451,
-1,,1450,
0,,1450,
-2,,1448,
0,,1448,
-1,,1447,
0,,1447,
-3,,1444,
0,,1444,
-3,,1441,
0,,1441,
-1,,1440,
0,,1440,
-1,,1439,
0,,1439,
-1,,1438,
0,,1438,
-1,,1437,
0,,1437,
-3,,1434,
0,,1434,
-3,,1431,
0,,1431,
0,,1431,
0,,1431,
-2,,1429,
0,,1429,
-2,,1427,
0,,1427,
-3,,1424,
0,,1424,
0,,1424,
0,,1424,
-2,,1422,
0,,1422,
0,,1422,
0,,1422,
0,,1422,
0,,1422,
-2,,1420,
0,,1420,
-2,,1418,
0,,1418,
-3,,1415,
0,,1415,
-1,,1414,
0,,1414,
2,,1416,
3,,1419,
0,,1419,
-2,,1417,
0,,1417,
4,,1421,
3,,1424,
2,,1426,
4,,1430,
0,,1430,
3,,1433,
1,,1434,
1,,1435,
0,,1435,
0,,1435,
2,,1437,
0,,1437,
-1,,1436,
0,,1436,
1,,1437,
0,,1437,
-5,,1432,
0,,1432,
1,,1433,
0,,1433,
-3,,1430,
-3,,1427,
-4,,1423,
-5,,1418,
0,,1418,
0,,1418,
-2,,1416,
0,,1416,
-4,,1412,
0,,1412,
-2,,1410,
-3,,1407,
-2,,1405,
-4,,1401,
-1,,1400,
0,,1400,
-2,,1398,
-2,,1396,
-2,,1394,
0,,1394,
2,,1396,
0,,1396,
2,,1398,
2,,1400,
0,,1400,
0,,1400,
-2,,1398,
0,,1398,
-2,,1396,
-4,,1392,
-3,,1389,
0,,1389,
1,,1390,
0,,1390,
-2,,1388,
0,,1388,
0,,1388,
0,,1388,
-1,,1387,
0,,1387,
1,,1388,
0,,1388,
-1,,1387,
0,,1387,
0,,1387,
0,,1387,
0,,1387,
0,,1387,
-2,,1385,
0,,1385,
0,,1385,
0,,1385,
-1,,1384,
0,,1384,
0,,1384,
-3,,1381,
0,,1381,
-1,,1380,
-4,,1376,
-3,,1373,
-1,,1372,
-4,,1368,
-2,,1366,
-2,,1364,
-2,,1362,
0,,1362,
-5,,1357,
0,,1357,
-1,,1356,
0,,1356,
-1,,1355,
0,,1355,
1,,1356,
0,,1356,
-5,,1351,
0,,1351,
-4,,1347,
0,,1347,
-3,,1344,
0,,1344,
-6,,1338,
0,,1338,
1,,1339,
0,,1339,
-1,,1338,
0,,1338,
-4,,1334,
0,,1334,
0,,1334,
0,,1334,
-4,,1330,
0,,1330,
-2,,1328,
0,,1328,
-1,,1327,
0,,1327,
-2,,1325,
0,,1325,
1,,1326,
0,,1326,
-4,,1322,
0,,1322,
-3,,1319,
0,,1319,
0,,1319,
0,,1319,
-4,,1315,
0,,1315,
-4,,1311,
0,,1311,
-4,,1307,
0,,1307,
1,,1308,
0,,1308,
1,,1309,
0,,1309,
-3,,1306,
0,,1306,
1,,1307,
0,,1307,
3,,1310,
0,,1310,
-4,,1306,
0,,1306,
-1,,1305,
0,,1305,
-4,,1301,
0,,1301,
-1,,1300,
0,,1300,
-2,,1298,
0,,1298,
-1,,1297,
0,,1297,
