,,1116,
-1,,1115,
-4,,1111,
0,,1111,
1,,1112,
1,,1113,
0,,1113,
-2,,1111,
-4,,1107,
0,,1107,
1,,1108,
0,,1108,
-3,,1105,
0,,1105,
0,,1105,
-1,,1104,
-1,,1103,
-3,,1100,
-2,,1098,
-3,,1095,
-1,,1094,
0,,1094,
0,,1094,
1,,1095,
2,,1097,
1,,1098,
2,,1100,
2,,1102,
2,,1104,
2,,1106,
1,,1107,
0,,1107,
-1,,1106,
0,,1106,
2,,1108,
0,,1108,
1,,1109,
0,,1109,
-1,,1108,
-1,,1107,
0,,1107,
0,,1107,
1,,1108,
0,,1108,
-1,,1107,
0,,1107,
-2,,1105,
0,,1105,
0,,1105,
0,,1105,
1,,1106,
0,,1106,
-2,,1104,
-1,,1103,
0,,1103,
0,,1103,
1,,1104,
0,,1104,
-2,,1102,
-1,,1101,
-2,,1099,
0,,1099,
0,,1099,
-2,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
0,,1097,
1,,1098,
0,,1098,
0,,1098,
0,,1098,
0,,1098,
0,,1098,
2,,1100,
0,,1100,
2,,1102,
0,,1102,
2,,1104,
0,,1104,
0,,1104,
1,,1105,
1,,1106,
0,,1106,
1,,1107,
0,,1107,
-1,,1106,
-3,,1103,
0,,1103,
1,,1104,
0,,1104,
0,,1104,
-2,,1102,
0,,1102,
-1,,1101,
-3,,1098,
-3,,1095,
-1,,1094,
-2,,1092,
0,,1092,
-1,,1091,
0,,1091,
1,,1092,
0,,1092,
-3,,1089,
-1,,1088,
-3,,1085,
-1,,1084,
0,,1084,
2,,1086,
0,,1086,
1,,1087,
0,,1087,
2,,1089,
0,,1089,
3,,1092,
0,,1092,
2,,1094,
0,,1094,
0,,1094,
0,,1094,
1,,1095,
0,,1095,
-1,,1094,
0,,1094,
0,,1094,
0,,1094,
1,,1095,
0,,1095,
3,,1098,
0,,1098,
0,,1098,
0,,1098,
3,,1101,
0,,1101,
1,,1102,
0,,1102,
-1,,1101,
0,,1101,
0,,1101,
2,,1103,
1,,1104,
1,,1105,
1,,1106,
1,,1107,
0,,1107,
2,,1109,
0,,1109,
-1,,1108,
0,,1108,
1,,1109,
0,,1109,
-1,,1108,
0,,1108,
2,,1110,
2,,1112,
0,,1112,
-1,,1111,
0,,1111,
0,,1111,
0,,1111,
0,,1111,
-2,,1109,
-1,,1108,
0,,1108,
1,,1109,
0,,1109,
-1,,1108,
0,,1108,
1,,1109,
1,,1110,
0,,1110,
-1,,1109,
-1,,1108,
-1,,1107,
-1,,1106,
0,,1106,
2,,1108,
0,,1108,
2,,1110,
0,,1110,
0,,1110,
2,,1112,
2,,1114,
0,,1114,
1,,1115,
2,,1117,
1,,1118,
0,,1118,
-1,,1117,
0,,1117,
1,,1118,
1,,1119,
2,,1121,
1,,1122,
1,,1123,
0,,1123,
-1,,1122,
0,,1122,
1,,1123,
1,,1124,
3,,1127,
0,,1127,
1,,1128,
0,,1128,
2,,1130,
0,,1130,
1,,1131,
0,,1131,
0,,1131,
0,,1131,
2,,1133,
0,,1133,
2,,1135,
0,,1135,
0,,1135,
0,,1135,
0,,1135,
0,,1135,
2,,1137,
0,,1137,
-2,,1135,
-2,,1133,
0,,1133,
-3,,1130,
-2,,1128,
-1,,1127,
-1,,1126,
-3,,1123,
-3,,1120,
-2,,1118,
0,,1118,
0,,1118,
0,,1118,
0,,1118,
3,,1121,
0,,1121,
3,,1124,
0,,1124,
0,,1124,
0,,1124,
0,,1124,
0,,1124,
2,,1126,
0,,1126,
-1,,1125,
0,,1125,
-1,,1124,
0,,1124,
0,,1124,
0,,1124,
0,,1124,
0,,1124,
3,,1127,
0,,1127,
0,,1127,
0,,1127,
1,,1128,
0,,1128,
1,,1129,
0,,1129,
0,,1129,
0,,1129,
2,,1131,
0,,1131,
2,,1133,
0,,1133,
3,,1136,
0,,1136,
2,,1138,
0,,1138,
4,,1142,
0,,1142,
4,,1146,
0,,1146,
-2,,1144,
0,,1144,
2,,1146,
0,,1146,
-1,,1145,
0,,1145,
-2,,1143,
0,,1143,
2,,1145,
0,,1145,
0,,1145,
0,,1145,
3,,1148,
0,,1148,
4,,1152,
0,,1152,
0,,1152,
0,,1152,
-3,,1149,
0,,1149,
2,,1151,
0,,1151,
2,,1153,
0,,1153,
-2,,1151,
0,,1151,
-2,,1149,
0,,1149,
-1,,1148,
0,,1148,
1,,1149,
0,,1149,
0,,1149,
0,,1149,
-4,,1145,
0,,1145,
3,,1148,
0,,1148,
2,,1150,
0,,1150,
0,,1150,
0,,1150,
-3,,1147,
0,,1147,
0,,1147,
0,,1147,
-2,,1145,
0,,1145,
0,,1145,
0,,1145,
-4,,1141,
0,,1141,
-1,,1140,
0,,1140,
-2,,1138,
0,,1138,
