,,1064,
-2,,1062,
-1,,1061,
-2,,1059,
-1,,1058,
-1,,1057,
0,,1057,
0,,1057,
0,,1057,
1,,1058,
0,,1058,
-1,,1057,
-3,,1054,
0,,1054,
0,,1054,
1,,1055,
0,,1055,
1,,1056,
0,,1056,
-2,,1054,
0,,1054,
1,,1055,
0,,1055,
-1,,1054,
0,,1054,
0,,1054,
-2,,1052,
-1,,1051,
-1,,1050,
-2,,1048,
0,,1048,
1,,1049,
0,,1049,
-1,,1048,
-2,,1046,
-1,,1045,
-1,,1044,
-1,,1043,
0,,1043,
1,,1044,
0,,1044,
-2,,1042,
-1,,1041,
0,,1041,
1,,1042,
0,,1042,
-1,,1041,
-2,,1039,
0,,1039,
0,,1039,
1,,1040,
0,,1040,
1,,1041,
1,,1042,
2,,1044,
0,,1044,
1,,1045,
2,,1047,
0,,1047,
-1,,1046,
0,,1046,
1,,1047,
0,,1047,
1,,1048,
1,,1049,
0,,1049,
0,,1049,
2,,1051,
0,,1051,
-1,,1050,
-1,,1049,
-1,,1048,
0,,1048,
-1,,1047,
0,,1047,
-1,,1046,
0,,1046,
-2,,1044,
0,,1044,
-1,,1043,
0,,1043,
0,,1043,
0,,1043,
-2,,1041,
0,,1041,
0,,1041,
0,,1041,
-1,,1040,
0,,1040,
1,,1041,
0,,1041,
0,,1041,
0,,1041,
1,,1042,
0,,1042,
2,,1044,
1,,1045,
0,,1045,
-1,,1044,
0,,1044,
1,,1045,
2,,1047,
0,,1047,
-2,,1045,
0,,1045,
-2,,1043,
-3,,1040,
-3,,1037,
0,,1037,
-2,,1035,
-3,,1032,
-1,,1031,
0,,1031,
1,,1032,
0,,1032,
-1,,1031,
-3,,1028,
-1,,1027,
0,,1027,
-2,,1025,
-2,,1023,
0,,1023,
1,,1024,
0,,1024,
-1,,1023,
0,,1023,
1,,1024,
0,,1024,
2,,1026,
0,,1026,
2,,1028,
0,,1028,
2,,1030,
0,,1030,
3,,1033,
0,,1033,
1,,1034,
0,,1034,
2,,1036,
0,,1036,
3,,1039,
0,,1039,
1,,1040,
0,,1040,
2,,1042,
0,,1042,
1,,1043,
0,,1043,
0,,1043,
0,,1043,
0,,1043,
0,,1043,
0,,1043,
0,,1043,
0,,1043,
0,,1043,
1,,1044,
0,,1044,
-1,,1043,
-1,,1042,
-1,,1041,
-1,,1040,
0,,1040,
-1,,1039,
-1,,1038,
-1,,1037,
0,,1037,
-2,,1035,
-1,,1034,
-2,,1032,
-1,,1031,
-1,,1030,
0,,1030,
1,,1031,
0,,1031,
2,,1033,
2,,1035,
1,,1036,
0,,1036,
-1,,1035,
0,,1035,
1,,1036,
1,,1037,
0,,1037,
1,,1038,
1,,1039,
1,,1040,
0,,1040,
-1,,1039,
0,,1039,
0,,1039,
0,,1039,
-2,,1037,
-1,,1036,
0,,1036,
0,,1036,
-1,,1035,
0,,1035,
1,,1036,
0,,1036,
0,,1036,
-1,,1035,
0,,1035,
1,,1036,
1,,1037,
0,,1037,
-2,,1035,
-1,,1034,
0,,1034,
-1,,1033,
-1,,1032,
0,,1032,
0,,1032,
0,,1032,
2,,1034,
0,,1034,
0,,1034,
0,,1034,
0,,1034,
0,,1034,
1,,1035,
0,,1035,
0,,1035,
0,,1035,
1,,1036,
0,,1036,
2,,1038,
0,,1038,
1,,1039,
0,,1039,
3,,1042,
0,,1042,
-2,,1040,
0,,1040,
1,,1041,
0,,1041,
-2,,1039,
-1,,1038,
-1,,1037,
0,,1037,
-2,,1035,
0,,1035,
0,,1035,
0,,1035,
1,,1036,
0,,1036,
2,,1038,
0,,1038,
-1,,1037,
0,,1037,
2,,1039,
0,,1039,
-1,,1038,
0,,1038,
2,,1040,
0,,1040,
3,,1043,
0,,1043,
2,,1045,
0,,1045,
2,,1047,
0,,1047,
3,,1050,
0,,1050,
-1,,1049,
0,,1049,
1,,1050,
0,,1050,
3,,1053,
0,,1053,
0,,1053,
0,,1053,
-1,,1052,
0,,1052,
-1,,1051,
0,,1051,
1,,1052,
0,,1052,
0,,1052,
0,,1052,
2,,1054,
0,,1054,
3,,1057,
0,,1057,
0,,1057,
0,,1057,
2,,1059,
0,,1059,
3,,1062,
0,,1062,
1,,1063,
0,,1063,
-1,,1062,
0,,1062,
1,,1063,
0,,1063,
3,,1066,
0,,1066,
0,,1066,
0,,1066,
-3,,1063,
0,,1063,
0,,1063,
0,,1063,
2,,1065,
0,,1065,
3,,1068,
0,,1068,
0,,1068,
0,,1068,
-2,,1066,
0,,1066,
2,,1068,
0,,1068,
-4,,1064,
0,,1064,
-2,,1062,
0,,1062,
0,,1062,
0,,1062,
0,,1062,
0,,1062,
-1,,1061,
0,,1061,
2,,1063,
0,,1063,
-2,,1061,
0,,1061,
-3,,1058,
0,,1058,
-1,,1057,
0,,1057,
0,,1057,
0,,1057,
-1,,1056,
0,,1056,
-2,,1054,
0,,1054,
-1,,1053,
0,,1053,
1,,1054,
0,,1054,
1,,1055,
0,,1055,
