,,1321,
0,,1321,
0,,1321,
-1,,1320,
-1,,1319,
0,,1319,
1,,1320,
0,,1320,
-1,,1319,
-2,,1317,
0,,1317,
-1,,1316,
-2,,1314,
-1,,1313,
0,,1313,
1,,1314,
0,,1314,
-1,,1313,
-2,,1311,
0,,1311,
0,,1311,
0,,1311,
-1,,1310,
-1,,1309,
-2,,1307,
0,,1307,
-2,,1305,
0,,1305,
-1,,1304,
0,,1304,
-3,,1301,
0,,1301,
-1,,1300,
0,,1300,
-1,,1299,
0,,1299,
-1,,1298,
0,,1298,
0,,1298,
0,,1298,
-2,,1296,
0,,1296,
0,,1296,
0,,1296,
-1,,1295,
0,,1295,
1,,1296,
0,,1296,
1,,1297,
0,,1297,
0,,1297,
0,,1297,
-1,,1296,
0,,1296,
-1,,1295,
0,,1295,
-1,,1294,
0,,1294,
-1,,1293,
0,,1293,
-2,,1291,
0,,1291,
-2,,1289,
0,,1289,
1,,1290,
1,,1291,
1,,1292,
1,,1293,
0,,1293,
0,,1293,
0,,1293,
1,,1294,
1,,1295,
2,,1297,
2,,1299,
0,,1299,
1,,1300,
2,,1302,
1,,1303,
0,,1303,
-1,,1302,
0,,1302,
2,,1304,
0,,1304,
0,,1304,
2,,1306,
0,,1306,
0,,1306,
-1,,1305,
0,,1305,
1,,1306,
0,,1306,
1,,1307,
0,,1307,
-1,,1306,
-2,,1304,
-1,,1303,
0,,1303,
-1,,1302,
-1,,1301,
-1,,1300,
0,,1300,
1,,1301,
0,,1301,
1,,1302,
0,,1302,
0,,1302,
0,,1302,
2,,1304,
0,,1304,
2,,1306,
0,,1306,
0,,1306,
0,,1306,
0,,1306,
0,,1306,
2,,1308,
0,,1308,
2,,1310,
0,,1310,
1,,1311,
0,,1311,
-1,,1310,
0,,1310,
2,,1312,
0,,1312,
-1,,1311,
0,,1311,
-1,,1310,
0,,1310,
2,,1312,
0,,1312,
0,,1312,
0,,1312,
2,,1314,
0,,1314,
0,,1314,
0,,1314,
2,,1316,
0,,1316,
1,,1317,
0,,1317,
-1,,1316,
0,,1316,
1,,1317,
0,,1317,
-1,,1316,
0,,1316,
0,,1316,
0,,1316,
2,,1318,
0,,1318,
1,,1319,
0,,1319,
-1,,1318,
0,,1318,
-1,,1317,
0,,1317,
2,,1319,
0,,1319,
2,,1321,
0,,1321,
2,,1323,
0,,1323,
1,,1324,
0,,1324,
1,,1325,
0,,1325,
-1,,1324,
0,,1324,
0,,1324,
0,,1324,
2,,1326,
1,,1327,
2,,1329,
1,,1330,
0,,1330,
1,,1331,
2,,1333,
1,,1334,
0,,1334,
-3,,1331,
-1,,1330,
-3,,1327,
-1,,1326,
0,,1326,
1,,1327,
0,,1327,
-2,,1325,
0,,1325,
2,,1327,
1,,1328,
0,,1328,
-1,,1327,
0,,1327,
2,,1329,
0,,1329,
-1,,1328,
0,,1328,
1,,1329,
1,,1330,
0,,1330,
2,,1332,
1,,1333,
0,,1333,
2,,1335,
0,,1335,
2,,1337,
2,,1339,
0,,1339,
-2,,1337,
0,,1337,
0,,1337,
-1,,1336,
0,,1336,
-1,,1335,
0,,1335,
1,,1336,
0,,1336,
-2,,1334,
-1,,1333,
0,,1333,
-2,,1331,
0,,1331,
1,,1332,
0,,1332,
-1,,1331,
-1,,1330,
0,,1330,
1,,1331,
0,,1331,
-1,,1330,
-1,,1329,
-2,,1327,
0,,1327,
1,,1328,
0,,1328,
3,,1331,
0,,1331,
2,,1333,
0,,1333,
0,,1333,
0,,1333,
3,,1336,
0,,1336,
2,,1338,
0,,1338,
3,,1341,
0,,1341,
1,,1342,
0,,1342,
0,,1342,
0,,1342,
-1,,1341,
0,,1341,
2,,1343,
2,,1345,
1,,1346,
2,,1348,
0,,1348,
0,,1348,
2,,1350,
0,,1350,
-1,,1349,
-1,,1348,
0,,1348,
2,,1350,
3,,1353,
0,,1353,
2,,1355,
0,,1355,
1,,1356,
0,,1356,
1,,1357,
0,,1357,
1,,1358,
0,,1358,
0,,1358,
0,,1358,
0,,1358,
0,,1358,
1,,1359,
0,,1359,
2,,1361,
0,,1361,
3,,1364,
0,,1364,
0,,1364,
0,,1364,
3,,1367,
0,,1367,
3,,1370,
0,,1370,
0,,1370,
0,,1370,
1,,1371,
0,,1371,
0,,1371,
0,,1371,
0,,1371,
0,,1371,
1,,1372,
0,,1372,
1,,1373,
0,,1373,
-1,,1372,
0,,1372,
-4,,1368,
0,,1368,
0,,1368,
0,,1368,
-3,,1365,
0,,1365,
-1,,1364,
0,,1364,
1,,1365,
0,,1365,
0,,1365,
0,,1365,
-2,,1363,
0,,1363,
-3,,1360,
0,,1360,
0,,1360,
0,,1360,
-2,,1358,
0,,1358,
0,,1358,
0,,1358,
0,,1358,
0,,1358,
-2,,1356,
0,,1356,
-4,,1352,
0,,1352,
2,,1354,
0,,1354,
4,,1358,
0,,1358,
4,,1362,
0,,1362,
-1,,1361,
0,,1361,
3,,1364,
0,,1364,
0,,1364,
0,,1364,
2,,1366,
0,,1366,
5,,1371,
0,,1371,
1,,1372,
0,,1372,
-2,,1370,
0,,1370,
-3,,1367,
0,,1367,
0,,1367,
0,,1367,
4,,1371,
0,,1371,
-2,,1369,
0,,1369,
1,,1370,
0,,1370,
-2,,1368,
0,,1368,
