,,1103,
-4,,1099,
-1,,1098,
0,,1098,
-1,,1097,
0,,1097,
1,,1098,
0,,1098,
-4,,1094,
-3,,1091,
-1,,1090,
-2,,1088,
0,,1088,
-3,,1085,
0,,1085,
1,,1086,
0,,1086,
-3,,1083,
-3,,1080,
0,,1080,
1,,1081,
0,,1081,
-1,,1080,
0,,1080,
1,,1081,
0,,1081,
-1,,1080,
0,,1080,
1,,1081,
0,,1081,
0,,1081,
0,,1081,
-1,,1080,
0,,1080,
1,,1081,
0,,1081,
1,,1082,
0,,1082,
-2,,1080,
0,,1080,
0,,1080,
0,,1080,
-1,,1079,
-1,,1078,
0,,1078,
1,,1079,
1,,1080,
0,,1080,
2,,1082,
1,,1083,
1,,1084,
2,,1086,
0,,1086,
0,,1086,
1,,1087,
1,,1088,
0,,1088,
-1,,1087,
-1,,1086,
0,,1086,
1,,1087,
0,,1087,
-1,,1086,
-1,,1085,
0,,1085,
2,,1087,
0,,1087,
-1,,1086,
0,,1086,
2,,1088,
0,,1088,
-1,,1087,
0,,1087,
0,,1087,
0,,1087,
0,,1087,
0,,1087,
1,,1088,
0,,1088,
-2,,1086,
0,,1086,
-1,,1085,
0,,1085,
0,,1085,
0,,1085,
-1,,1084,
0,,1084,
0,,1084,
0,,1084,
-1,,1083,
0,,1083,
-1,,1082,
0,,1082,
1,,1083,
0,,1083,
2,,1085,
0,,1085,
-1,,1084,
-1,,1083,
0,,1083,
0,,1083,
-1,,1082,
-1,,1081,
-1,,1080,
0,,1080,
-2,,1078,
0,,1078,
-2,,1076,
-1,,1075,
-1,,1074,
-1,,1073,
0,,1073,
1,,1074,
0,,1074,
-2,,1072,
0,,1072,
0,,1072,
1,,1073,
0,,1073,
-3,,1070,
-2,,1068,
0,,1068,
0,,1068,
0,,1068,
-2,,1066,
0,,1066,
1,,1067,
0,,1067,
1,,1068,
0,,1068,
1,,1069,
0,,1069,
-1,,1068,
0,,1068,
1,,1069,
0,,1069,
2,,1071,
0,,1071,
1,,1072,
0,,1072,
1,,1073,
0,,1073,
1,,1074,
0,,1074,
1,,1075,
0,,1075,
0,,1075,
0,,1075,
2,,1077,
0,,1077,
1,,1078,
0,,1078,
-1,,1077,
0,,1077,
2,,1079,
0,,1079,
0,,1079,
-1,,1078,
0,,1078,
1,,1079,
1,,1080,
2,,1082,
2,,1084,
0,,1084,
-1,,1083,
0,,1083,
2,,1085,
1,,1086,
0,,1086,
2,,1088,
2,,1090,
1,,1091,
0,,1091,
-1,,1090,
0,,1090,
2,,1092,
0,,1092,
-2,,1090,
-1,,1089,
0,,1089,
1,,1090,
1,,1091,
0,,1091,
-1,,1090,
-1,,1089,
-2,,1087,
-1,,1086,
-2,,1084,
-1,,1083,
-1,,1082,
-1,,1081,
-1,,1080,
-1,,1079,
0,,1079,
1,,1080,
1,,1081,
1,,1082,
0,,1082,
-1,,1081,
-1,,1080,
0,,1080,
2,,1082,
1,,1083,
1,,1084,
1,,1085,
0,,1085,
0,,1085,
-1,,1084,
0,,1084,
0,,1084,
1,,1085,
0,,1085,
0,,1085,
2,,1087,
0,,1087,
0,,1087,
-3,,1084,
0,,1084,
-3,,1081,
0,,1081,
-1,,1080,
0,,1080,
-1,,1079,
0,,1079,
-1,,1078,
0,,1078,
0,,1078,
0,,1078,
-3,,1075,
0,,1075,
0,,1075,
0,,1075,
-3,,1072,
0,,1072,
1,,1073,
0,,1073,
3,,1076,
3,,1079,
2,,1081,
1,,1082,
0,,1082,
1,,1083,
0,,1083,
-1,,1082,
0,,1082,
2,,1084,
2,,1086,
1,,1087,
1,,1088,
0,,1088,
1,,1089,
0,,1089,
2,,1091,
0,,1091,
1,,1092,
0,,1092,
2,,1094,
0,,1094,
0,,1094,
0,,1094,
0,,1094,
0,,1094,
0,,1094,
0,,1094,
2,,1096,
0,,1096,
0,,1096,
0,,1096,
2,,1098,
0,,1098,
-1,,1097,
0,,1097,
-1,,1096,
0,,1096,
2,,1098,
0,,1098,
1,,1099,
0,,1099,
1,,1100,
0,,1100,
1,,1101,
0,,1101,
0,,1101,
0,,1101,
3,,1104,
0,,1104,
1,,1105,
0,,1105,
3,,1108,
0,,1108,
0,,1108,
0,,1108,
0,,1108,
0,,1108,
-1,,1107,
0,,1107,
-1,,1106,
0,,1106,
3,,1109,
0,,1109,
4,,1113,
0,,1113,
3,,1116,
0,,1116,
-1,,1115,
0,,1115,
1,,1116,
0,,1116,
1,,1117,
0,,1117,
0,,1117,
0,,1117,
1,,1118,
0,,1118,
4,,1122,
0,,1122,
-1,,1121,
0,,1121,
1,,1122,
0,,1122,
1,,1123,
0,,1123,
1,,1124,
0,,1124,
-4,,1120,
0,,1120,
-4,,1116,
0,,1116,
1,,1117,
0,,1117,
2,,1119,
0,,1119,
2,,1121,
0,,1121,
-1,,1120,
0,,1120,
2,,1122,
0,,1122,
-2,,1120,
0,,1120,
-3,,1117,
0,,1117,
-1,,1116,
0,,1116,
0,,1116,
0,,1116,
1,,1117,
0,,1117,
